Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,366.5295266,327.5650353,312.6932125,262.5773397,244.8443675,236.6105861,293.5596321,333.2231189,335.3419231,301.6849308,381.8050563,375.2919957,310.6237201,398.6130273,269.7905869,358.822987,380.5882869,355.1420718,372.8773466,541.7022593,502.9979811,508.3474477,564.3790577,698.4087773,784.1190751,805.9046853,837.1320025,944.6431721,1098.946679,1061.71836,1009.489495,1099.414311,1112.569536,1214.295565,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.885995,1240.733155,1360.911474,1302.851036
Bermuda,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,111774.6691,118774.7907
Bhutan,309.8543815,324.6870413,319.8530022,343.624891,341.2067975,337.0059425,383.0867122,472.2383038,514.691526,486.5752425,515.2997216,423.2694263,440.0332839,433.8656028,496.7860723,550.6562279,564.4869443,644.0878036,652.3610292,699.3313359,722.8267562,765.0092366,841.3663133,951.7391705,1050.133107,1201.433648,1299.631259,1714.031085,1780.112232,1768.745945,2194.125876,2491.273439,2470.072151,2409.440006,2589.89916,2695.636924,2879.546564,3427.173845,3389.777303,3564.598772,3181.339747,3560.197705,..
Bolivia,775.8542123,985.5871896,934.7813827,884.552229,986.7846311,842.0902334,607.0827722,652.7057594,675.7147352,678.6414025,685.9427177,737.521442,763.2606089,760.1176818,777.4160359,856.3650535,925.8492101,973.9626322,1025.409495,981.7529782,977.3294177,930.8756843,888.198576,892.3553416,951.9516229,1018.313725,1200.068042,1351.035182,1687.578497,1725.146286,1922.058571,2304.982462,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.023002,3600.121635
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,333.7831793,497.6828466,712.9536456,907.1487832,1000.416835,1128.398884,1332.210217,1382.76746,1602.564039,2031.402483,2451.577301,2741.080175,3170.174783,3936.931747,4846.790941,4542.311673,4506.932352,4980.904688,4688.345823,5025.241753,5196.970084,4654.60862,4917.263766,5327.392304,6024.49315,6094.724823,6095.104237,7230.198838,7568.79848
Botswana,1130.315971,1092.664572,992.1180515,1105.130206,1128.871937,978.9930857,1180.908893,1610.365203,2096.735802,2369.125618,2825.724781,2855.948427,2918.617005,2844.99575,2832.813409,3064.585985,3063.994566,3100.165638,2893.328745,3242.137335,3351.696517,3115.679,3029.788362,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848752,4938.249906,6041.732051,7080.778643,6392.987347,6436.603319,6844.03325,5869.737579,6411.551666,6705.341062,6947.817841,6691.161053,5875.070606,7238.796098,7738.878804
Brazil,..,..,..,..,..,..,..,..,..,2875.577715,3065.242357,2656.497207,2505.377758,2766.345596,3393.142926,4704.959837,5121.905407,5240.127176,5049.764669,3456.423303,3726.811669,3142.23514,2824.715413,3056.649798,3623.224462,4773.268551,5866.023414,7323.191594,8801.757876,8569.902547,11249.29189,13200.55623,12327.5131,12258.56571,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149,6923.699912,7696.78483,8917.674911
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,26228.07745,22494.86284,21254.06231,18526.29427,17619.33108,15863.26468,10262.92628,11587.49105,10949.80293,11762.35329,13440.66929,13717.38749,15080.71971,14420.58852,14000.44605,15827.98736,16706.46935,16593.43254,12653.8094,14065.69952,17971.89229,16437.42204,16817.23887,18521.36613,21839.26362,25991.21401,30767.75383,32337.27437,37427.54006,27497.54687,34609.71198,46139.10758,46844.19734,43950.04546,41035.77712,30681.43397,26762.03504,28186.98674,31240.50179,30748.30924,27179.35289,31448.91275,37152.47697
Bulgaria,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.525114,1148.494399,2259.259226,1470.192593,1361.409384,1820.448664,1659.718611,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9447.655897,9874.336326,10148.3424,12219.34187,13974.44925
