Country Name,GDP per capita,CO2 emissions,Total greenhouse gas emissions,Forest area,"Population, total",Methane emissions
Sierra Leone,493.4322406,0.127277607,5952.4739,35.11886949,8233970,3591.093856
Singapore,61273.99166,7.686683702,64266.74268,21.68523677,5685807,4347.650851
Sint Maarten (Dutch part),29223.06962,..,..,10.88235294,42310,..
Solomon Islands,2222.462119,0.323065549,835.240357,90.13826367,691191,416.003048
Somalia,556.578066,0.039934653,26272.10205,9.532311028,16537016,18752.05737
South Africa,5753.066494,6.687563147,501520.8805,14.05509072,58801927,72213.21514
South Sudan,..,0.164309137,56051.36036,11.32562151,10606227,32385.92039
St. Kitts and Nevis,18553.65714,4.848662944,334.464112,42.30769231,47642,82.070818
St. Lucia,8951.524766,2.785139229,850.806942,34.04918033,179237,272.859517
St. Martin (French part),..,..,..,24.8,32553,..
St. Vincent and the Grenadines,8306.360493,2.100695772,302.420156,73.17948718,104632,67.776175
Sudan,608.3325195,0.467953928,107114.2127,9.828452891,44440486,55887.39611
Suriname,4796.533314,4.285076557,4312.425111,97.41211538,607065,1415.671617
Syrian Arab Republic,537.0902346,1.214802484,47112.47483,2.843108425,20772595,15963.67267
Tanzania,1104.164429,0.233945592,89255.44823,51.64258298,61704518,46487.36706
Thailand,7001.78546,3.714255806,433773.458,38.89878447,71475664,75892.78006
Timor-Leste,1663.559629,0.343155166,5537.128706,61.94351042,1299995,4794.894791
Togo,886.6995115,0.286061844,8395.488807,22.23331495,8442580,3039.881913
Tonga,4605.970841,1.122047618,268.338502,12.43055556,105254,92.338189
Trinidad and Tobago,13705.90023,10.15711917,26480.71295,44.48148148,1518147,6667.330375
Tunisia,3497.719027,2.408622528,40882.99745,4.523236354,12161723,6653.819385
Turks and Caicos Islands,20882.26127,..,..,11.07368421,44276,..
Tuvalu,4674.911403,0.596259825,21.742689,33.33333333,11069,11.574492
Uganda,846.8811992,0.127793035,39280.05175,11.65918612,44404611,21178.67916
United Arab Emirates,37629.17417,20.25227168,249927.7494,4.467755562,9287289,56944.70537
United States,63528.6343,13.03282795,5505180.89,33.86692641,331511512,748241.4029
Uruguay,15650.4993,1.89971905,35994.19321,11.60438807,3429086,20393.59933
Vanuatu,2917.756849,0.389174968,588.659649,36.28383921,311685,374.327533
"Venezuela, RB",..,2.545027978,194259.7019,52.41301514,28490453,97594.23488
Viet Nam,3586.347176,3.676440088,470578.1002,46.71900175,96648685,79619.23803
Virgin Islands (U.S.),39411.04525,..,..,56.88571429,106290,..
West Bank and Gaza,3233.568638,..,..,1.684385382,4803269,..
"Yemen, Rep.",578.5120102,0.308514614,24391.15073,1.039831809,32284046,10542.15376
